image_id,mine_row,comparison_row,iou,mine_class,comparison_class,class_agree
drive_022,1,4,0.754741,car,car,True
drive_022,2,5,0.850498,truck,bus,False
drive_022,3,2,0.858388,bus,van,False
drive_022,4,3,0.775275,car,car,True
drive_022,5,1,0.871556,car,car,True
drive_033,2,1,0.953012,bus,van,False
drive_033,3,2,0.849505,truck,bus,False
drive_033,4,11,0.890567,car,car,True
drive_033,5,12,0.910745,bus,van,False
drive_033,6,10,0.795255,car,car,True
drive_033,7,7,0.904749,car,car,True
drive_033,8,6,0.795921,car,car,True
drive_033,10,5,0.845447,car,car,True
drive_033,11,3,0.831177,car,car,True
drive_033,12,4,0.62363,car,car,True
drive_033,13,9,0.804696,car,car,True
drive_033,20,8,0.871344,car,car,True
drive_038,1,4,0.926881,car,car,True
drive_038,2,8,0.843642,car,car,True
drive_038,3,7,0.79004,car,car,True
drive_038,4,11,0.736565,car,car,True
drive_038,5,10,0.774902,car,car,True
drive_038,6,9,0.870302,truck,bus,False
drive_038,7,15,0.899081,van,truck,False
drive_038,8,14,0.866327,car,car,True
drive_038,9,13,0.749574,car,car,True
drive_038,10,6,0.815646,car,car,True
drive_038,11,12,0.720179,car,car,True
drive_038,17,2,0.883354,car,car,True
drive_038,18,1,0.958793,car,car,True
drive_038,19,5,0.839084,truck,bus,False
drive_038,20,16,0.740236,car,car,True
drive_038,22,17,0.806966,car,car,True
drive_038,23,3,0.911523,car,car,True
drive_008,1,4,0.909576,car,car,True
drive_008,2,7,0.873685,car,car,True
drive_008,3,13,0.629214,car,car,True
drive_008,4,14,0.870824,car,car,True
drive_008,12,9,0.977268,bus,van,False
drive_008,13,1,0.816659,truck,bus,False
drive_008,15,16,0.859035,car,car,True
drive_008,16,12,0.845934,van,truck,False
drive_008,20,3,0.916044,van,truck,False
drive_008,21,5,0.83546,van,truck,False
drive_008,24,15,0.279656,car,car,True
drive_008,25,11,0.901512,car,car,True
drive_008,26,6,0.863673,car,car,True
drive_008,27,2,0.852328,car,car,True
